titulo,genero,duracion,tono,anio,calificacion
"alexander and the terrible, horrible, no good, very bad day",Comedy,corta,divertido,2014,6.2
a little bit of heaven,Comedy,media,divertido,2011,6.2
jug jugg jeeyo,Comedy,larga,divertido,2022,6.2
diary of a wimpy kid,Comedy,media,divertido,2010,6.2
the five-year engagement,Comedy,larga,divertido,2012,6.2
don't worry darling,Drama,larga,serio,2022,6.2
wall street: money never sleeps,Drama,larga,serio,2010,6.2
step up 2: the streets,Drama,media,serio,2008,6.2
the sisterhood of the traveling pants 2,Comedy,media,divertido,2008,6.2
sydney white,Comedy,media,divertido,2007,6.2
"new york, i love you",Comedy,media,divertido,2008,6.2
the nanny diaries,Comedy,media,divertido,2007,6.2
man of the year,Comedy,media,divertido,2006,6.2
prime,Comedy,media,divertido,2005,6.2
alfie,Comedy,media,divertido,2004,6.2
shall we dance?,Comedy,media,divertido,2004,6.2
fever pitch,Comedy,media,divertido,2005,6.2
the human stain,Drama,media,serio,2003,6.2
jersey girl,Comedy,media,divertido,2004,6.2
orange county,Comedy,corta,divertido,2002,6.2
save the last dance,Drama,media,serio,2001,6.2
message in a bottle,Drama,larga,serio,1999,6.2
practical magic,Comedy,media,divertido,1998,6.2
fear,Drama,media,serio,1996,6.2
wolf,Drama,larga,serio,1994,6.2
sleeping with the enemy,Drama,media,serio,1991,6.2
flashdance,Drama,media,serio,1983,6.2
book club,Comedy,media,divertido,2018,6.1
i kill giants,Drama,media,serio,2017,6.1
we are your friends,Drama,media,serio,2015,6.1
a hologram for the king,Comedy,media,divertido,2016,6.1
drinking buddies,Comedy,media,divertido,2013,6.1
dear white people,Comedy,media,divertido,2014,6.1
magic mike,Comedy,media,divertido,2012,6.1
she's funny that way,Comedy,media,divertido,2014,6.1
friends with kids,Comedy,media,divertido,2011,6.1
10 years,Comedy,media,divertido,2011,6.1
larry crowne,Comedy,media,divertido,2011,6.1
beautiful creatures,Drama,larga,serio,2013,6.1
men,Drama,media,serio,2022,6.1
coriolanus,Drama,larga,serio,2011,6.1
greenberg,Comedy,media,divertido,2010,6.1
step up 3d,Drama,media,serio,2010,6.1
wild child,Comedy,media,divertido,2008,6.1
the switch,Comedy,media,divertido,2010,6.1
bug,Drama,media,serio,2006,6.1
the rum diary,Comedy,media,divertido,2011,6.1
the final cut,Drama,media,serio,2004,6.1
uptown girls,Comedy,media,divertido,2003,6.1
s1m0ne,Comedy,media,divertido,2002,6.1
the tailor of panama,Comedy,media,divertido,2001,6.1
28 days,Comedy,media,divertido,2000,6.1
edtv,Comedy,larga,divertido,1999,6.1
fools rush in,Comedy,media,divertido,1997,6.1
the cable guy,Comedy,media,divertido,1996,6.1
disclosure,Drama,larga,serio,1994,6.1
d2: the mighty ducks,Comedy,media,divertido,1994,6.1
