titulo,genero,duracion,tono,anio,calificacion
being john malkovich,"Comedy, Drama, Fantasy",media,divertido,1999,7.7
as good as it gets,"Comedy, Drama, Romance",larga,divertido,1997,7.7
the fifth element,"Action, Adventure, Sci-Fi",larga,emocionante,1997,7.7
le dîner de cons,Comedy,corta,divertido,1998,7.7
donnie brasco,"Biography, Crime, Drama",larga,serio,1997,7.7
shine,"Biography, Drama, Music",media,serio,1996,7.7
primal fear,"Crime, Drama, Mystery",larga,serio,1996,7.7
hamlet,Drama,larga,serio,1996,7.7
a little princess,"Drama, Family, Fantasy",media,serio,1995,7.7
do lok tin si,"Comedy, Crime, Drama",media,divertido,1995,7.7
il postino,"Biography, Comedy, Drama",media,divertido,1994,7.7
clerks,Comedy,media,divertido,1994,7.7
short cuts,"Comedy, Drama",larga,divertido,1993,7.7
philadelphia,Drama,larga,serio,1993,7.7
the muppet christmas carol,"Comedy, Drama, Family",corta,divertido,1992,7.7
malcolm x,"Biography, Drama, History",larga,serio,1992,7.7
the last of the mohicans,"Action, Adventure, Drama",media,serio,1992,7.7
kurenai no buta,"Animation, Adventure, Comedy",media,divertido,1992,7.7
glengarry glen ross,"Crime, Drama, Mystery",media,serio,1992,7.7
a few good men,"Drama, Thriller",larga,serio,1992,7.7
fried green tomatoes,Drama,larga,serio,1991,7.7
barton fink,"Comedy, Drama, Thriller",media,divertido,1991,7.7
miller's crossing,"Crime, Drama, Thriller",media,serio,1990,7.7
who framed roger rabbit,"Animation, Adventure, Comedy",media,divertido,1988,7.7
spoorloos,"Mystery, Thriller",media,neutral,1988,7.7
withnail & i,"Comedy, Drama",media,divertido,1987,7.7
the last emperor,"Biography, Drama, History",larga,serio,1987,7.7
empire of the sun,"Action, Drama, History",larga,serio,1987,7.7
der name der rose,"Crime, Drama, Mystery",larga,serio,1986,7.7
blue velvet,"Drama, Mystery, Thriller",media,serio,1986,7.7
the purple rose of cairo,"Comedy, Fantasy, Romance",corta,divertido,1985,7.7
after hours,"Comedy, Crime, Drama",media,divertido,1985,7.7
zelig,Comedy,corta,divertido,1983,7.7
the verdict,Drama,larga,serio,1982,7.7
star trek ii: the wrath of khan,"Action, Adventure, Sci-Fi",media,emocionante,1982,7.7
first blood,"Action, Adventure",media,emocionante,1982,7.7
ordinary people,Drama,larga,serio,1980,7.7
airplane!,Comedy,corta,divertido,1980,7.7
rupan sansei: kariosutoro no shiro,"Animation, Adventure, Family",media,neutral,1979,7.7
halloween,"Horror, Thriller",media,oscuro,1978,7.7
le locataire,"Drama, Thriller",larga,serio,1976,7.7
love and death,"Comedy, War",corta,divertido,1975,7.7
the taking of pelham one two three,"Action, Crime, Thriller",media,emocionante,1974,7.7
blazing saddles,"Comedy, Western",media,divertido,1974,7.7
serpico,"Biography, Crime, Drama",larga,serio,1973,7.7
enter the dragon,"Action, Crime, Drama",media,serio,1973,7.7
deliverance,"Adventure, Drama, Thriller",media,serio,1972,7.7
the french connection,"Action, Crime, Drama",media,serio,1971,7.7
dirty harry,"Action, Crime, Thriller",media,emocionante,1971,7.7
where eagles dare,"Action, Adventure, War",larga,emocionante,1968,7.7
the odd couple,Comedy,media,divertido,1968,7.7
the dirty dozen,"Action, Adventure, War",larga,emocionante,1967,7.7
belle de jour,"Drama, Romance",media,serio,1967,7.7
a man for all seasons,"Biography, Drama, History",media,serio,1966,7.7
repulsion,"Drama, Horror, Thriller",media,serio,1965,7.7
zulu,"Drama, History, War",larga,serio,1964,7.7
goldfinger,"Action, Adventure, Thriller",media,emocionante,1964,7.7
the birds,"Drama, Horror, Mystery",media,serio,1963,7.7
cape fear,"Drama, Thriller",media,serio,1962,7.7
peeping tom,"Drama, Horror, Thriller",media,serio,1960,7.7
the magnificent seven,"Action, Adventure, Western",larga,emocionante,1960,7.7
les yeux sans visage,"Drama, Horror",media,serio,1960,7.7
invasion of the body snatchers,"Drama, Horror, Sci-Fi",corta,serio,1956,7.7
rebel without a cause,Drama,media,serio,1955,7.7
the ladykillers,"Comedy, Crime",media,divertido,1955,7.7
sabrina,"Comedy, Drama, Romance",media,divertido,1954,7.7
the quiet man,"Comedy, Drama, Romance",larga,divertido,1952,7.7
the day the earth stood still,"Drama, Sci-Fi",media,serio,1951,7.7
the african queen,"Adventure, Drama, Romance",media,serio,1951,7.7
gilda,"Drama, Film-Noir, Romance",media,serio,1946,7.7
fantasia,"Animation, Family, Fantasy",larga,neutral,1940,7.7
the invisible man,"Horror, Sci-Fi",corta,oscuro,1933,7.7
dark waters,"Biography, Drama, History",larga,serio,2019,7.6
searching,"Drama, Mystery, Thriller",media,serio,2018,7.6
once upon a time... in hollywood,"Comedy, Drama",larga,divertido,2019,7.6
nelyubov,Drama,larga,serio,2017,7.6
the florida project,Drama,media,serio,2017,7.6
just mercy,"Biography, Crime, Drama",larga,serio,2019,7.6
gifted,Drama,media,serio,2017,7.6
the peanut butter falcon,"Adventure, Comedy, Drama",media,divertido,2019,7.6
victoria,"Crime, Drama, Romance",larga,serio,2015,7.6
mustang,Drama,media,serio,2015,7.6
guardians of the galaxy vol. 2,"Action, Adventure, Comedy",larga,divertido,2017,7.6
baby driver,"Action, Crime, Drama",media,serio,2017,7.6
only the brave,"Action, Biography, Drama",larga,serio,2017,7.6
bridge of spies,"Drama, History, Thriller",larga,serio,2015,7.6
incredibles 2,"Animation, Action, Adventure",media,emocionante,2018,7.6
moana,"Animation, Adventure, Comedy",media,divertido,2016,7.6
sicario,"Action, Crime, Drama",larga,serio,2015,7.6
creed,"Drama, Sport",larga,serio,2015,7.6
leviafan,"Crime, Drama",larga,serio,2014,7.6
hell or high water,"Action, Crime, Drama",media,serio,2016,7.6
philomena,"Biography, Comedy, Drama",media,divertido,2013,7.6
dawn of the planet of the apes,"Action, Adventure, Drama",larga,serio,2014,7.6
el cuerpo,"Mystery, Thriller",media,neutral,2012,7.6
serbuan maut,"Action, Thriller",media,emocionante,2011,7.6
end of watch,"Action, Crime, Drama",media,serio,2012,7.6
kari-gurashi no arietti,"Animation, Adventure, Family",media,neutral,2010,7.6
a star is born,"Drama, Music, Romance",larga,serio,2018,7.6
true grit,"Drama, Western",media,serio,2010,7.6
hævnen,"Drama, Romance",media,serio,2010,7.6
despicable me,"Animation, Comedy, Crime",media,divertido,2010,7.6
50/50,"Comedy, Drama, Romance",media,divertido,2011,7.6
kick-ass,"Action, Comedy, Crime",media,divertido,2010,7.6
celda 211,"Action, Adventure, Crime",media,emocionante,2009,7.6
moneyball,"Biography, Drama, Sport",larga,serio,2011,7.6
la piel que habito,"Drama, Horror, Thriller",media,serio,2011,7.6
zombieland,"Adventure, Comedy, Fantasy",corta,divertido,2009,7.6
die welle,"Drama, Thriller",media,serio,2008,7.6
sherlock holmes,"Action, Adventure, Mystery",larga,emocionante,2009,7.6
the blind side,"Biography, Drama, Sport",larga,serio,2009,7.6
the visitor,Drama,media,serio,2007,7.6
seven pounds,Drama,larga,serio,2008,7.6
eastern promises,"Action, Crime, Drama",media,serio,2007,7.6
stardust,"Adventure, Family, Fantasy",larga,neutral,2007,7.6
the secret of kells,"Animation, Adventure, Family",corta,neutral,2009,7.6
inside man,"Crime, Drama, Mystery",larga,serio,2006,7.6
gone baby gone,"Crime, Drama, Mystery",media,serio,2007,7.6
la vie en rose,"Biography, Drama, Music",larga,serio,2007,7.6
huo yuan jia,"Action, Biography, Drama",media,serio,2006,7.6
the illusionist,"Drama, Fantasy, Mystery",media,serio,2006,7.6
dead man's shoes,"Crime, Drama, Thriller",media,serio,2004,7.6
harry potter and the half-blood prince,"Action, Adventure, Family",larga,emocionante,2009,7.6
300,"Action, Drama",media,serio,2006,7.6
match point,"Drama, Romance, Thriller",larga,serio,2005,7.6
watchmen,"Action, Drama, Mystery",larga,serio,2009,7.6
lord of war,"Action, Crime, Drama",larga,serio,2005,7.6
saw,"Horror, Mystery, Thriller",media,oscuro,2004,7.6
"synecdoche, new york",Drama,larga,serio,2008,7.6
mysterious skin,Drama,media,serio,2004,7.6
jeux d'enfants,"Comedy, Drama, Romance",media,divertido,2003,7.6
un long dimanche de fiançailles,"Drama, Mystery, Romance",larga,serio,2004,7.6
the station agent,"Comedy, Drama",corta,divertido,2003,7.6
21 grams,"Crime, Drama, Thriller",larga,serio,2003,7.6
boksuneun naui geot,"Crime, Drama, Thriller",larga,serio,2002,7.6
finding neverland,"Biography, Drama, Family",media,serio,2004,7.6
25th hour,Drama,larga,serio,2002,7.6
the butterfly effect,"Drama, Sci-Fi, Thriller",media,serio,2004,7.6
28 days later...,"Drama, Horror, Sci-Fi",media,serio,2002,7.6
batoru rowaiaru,"Action, Adventure, Drama",media,serio,2000,7.6
the royal tenenbaums,"Comedy, Drama",media,divertido,2001,7.6
y tu mamá también,Drama,media,serio,2001,7.6
harry potter and the sorcerer's stone,"Adventure, Family, Fantasy",larga,neutral,2001,7.6
the others,"Horror, Mystery, Thriller",media,oscuro,2001,7.6
blow,"Biography, Crime, Drama",larga,serio,2001,7.6
enemy at the gates,"Drama, History, War",larga,serio,2001,7.6
minority report,"Action, Crime, Mystery",larga,emocionante,2002,7.6
the hurricane,"Biography, Drama, Sport",larga,serio,1999,7.6
american psycho,"Comedy, Crime, Drama",media,divertido,2000,7.6
lola rennt,"Crime, Drama, Thriller",corta,serio,1998,7.6
the thin red line,"Drama, War",larga,serio,1998,7.6
mulan,"Animation, Adventure, Family",corta,neutral,1998,7.6
fear and loathing in las vegas,"Adventure, Comedy, Drama",media,divertido,1998,7.6
funny games,"Crime, Drama, Thriller",media,serio,1997,7.6
dark city,"Mystery, Sci-Fi, Thriller",media,neutral,1998,7.6
sleepers,"Crime, Drama, Thriller",larga,serio,1996,7.6
lost highway,"Mystery, Thriller",larga,neutral,1997,7.6
sense and sensibility,"Drama, Romance",larga,serio,1995,7.6
die hard: with a vengeance,"Action, Adventure, Thriller",larga,emocionante,1995,7.6
dead man,"Adventure, Drama, Fantasy",larga,serio,1995,7.6
the bridges of madison county,"Drama, Romance",larga,serio,1995,7.6
apollo 13,"Adventure, Drama, History",larga,serio,PG,7.6
trois couleurs: blanc,"Comedy, Drama, Romance",media,divertido,1994,7.6
falling down,"Action, Crime, Drama",media,serio,1993,7.6
dazed and confused,Comedy,media,divertido,1993,7.6
my cousin vinny,"Comedy, Crime",media,divertido,1992,7.6
omohide poro poro,"Animation, Drama, Romance",media,serio,1991,7.6
delicatessen,"Comedy, Crime",media,divertido,1991,7.6
home alone,"Comedy, Family",media,divertido,1990,7.6
the godfather: part iii,"Crime, Drama",larga,serio,1990,7.6
when harry met sally...,"Comedy, Drama, Romance",media,divertido,1989,7.6
the little mermaid,"Animation, Family, Fantasy",corta,neutral,1989,7.6
the naked gun: from the files of police squad!,"Comedy, Crime",corta,divertido,1988,7.6
"planes, trains & automobiles","Comedy, Drama",media,divertido,1987,7.6
lethal weapon,"Action, Crime, Thriller",media,emocionante,1987,7.6
blood simple,"Crime, Drama, Thriller",media,serio,1984,7.6
on golden pond,Drama,media,serio,1981,7.6
mad max 2,"Action, Adventure, Sci-Fi",media,emocionante,1981,7.6
the warriors,"Action, Crime, Thriller",media,emocionante,1979,7.6
the muppet movie,"Adventure, Comedy, Family",media,divertido,1979,7.6
escape from alcatraz,"Action, Biography, Crime",media,emocionante,1979,7.6
watership down,"Animation, Adventure, Drama",media,serio,1978,7.6
midnight express,"Biography, Crime, Drama",larga,serio,1978,7.6
close encounters of the third kind,"Drama, Sci-Fi",larga,serio,1977,7.6
the long goodbye,"Comedy, Crime, Drama",media,divertido,1973,7.6
giù la testa,"Drama, War, Western",larga,serio,1971,7.6
kelly's heroes,"Adventure, Comedy, War",larga,divertido,1970,7.6
the jungle book,"Animation, Adventure, Family",corta,neutral,1967,7.6
blowup,"Drama, Mystery, Thriller",media,serio,1966,7.6
a hard day's night,"Comedy, Music, Musical",corta,divertido,1964,7.6
breakfast at tiffany's,"Comedy, Drama, Romance",media,divertido,1961,7.6
giant,"Drama, Western",larga,serio,1956,7.6
from here to eternity,"Drama, Romance, War",media,serio,1953,7.6
lifeboat,"Drama, War",media,serio,1944,7.6
the 39 steps,"Crime, Mystery, Thriller",corta,neutral,1935,7.6
kantara,Action,larga,emocionante,2022,9.3
the empire strikes back,Action,larga,emocionante,1980,8.7
kaithi,Action,larga,emocionante,2019,8.5
asuran,Action,larga,emocionante,2019,8.5
sita ramam,Action,larga,emocionante,2022,8.5
vikram,Action,larga,emocionante,2022,8.4
top gun: maverick,Action,larga,emocionante,2022,8.4
k.g.f: chapter 2,Action,larga,emocionante,2022,8.4
shershaah,Action,larga,emocionante,2021,8.4
spider-man: no way home,Action,larga,emocionante,2021,8.3
major,Action,larga,emocionante,2022,8.2
dag ii,Action,larga,emocionante,2016,8.2
kimetsu no yaiba: mugen ressha-hen,Animation,media,neutral,2020,8.2
everything everywhere all at once,Action,larga,emocionante,2022,8.1
sarfarosh,Action,larga,emocionante,1999,8.1
rrr (rise roar revolt),Action,larga,emocionante,2022,8.0
arjun reddy,Action,larga,emocionante,2017,8.0
kaththi,Action,larga,emocionante,2014,8.0
1 - nenokkadine,Action,larga,emocionante,2014,8.0
thuppakki,Action,larga,emocionante,2012,8.0
karthikeya 2,Action,larga,emocionante,2022,8.0
zack snyder's justice league,Action,larga,emocionante,2021,8.0
ip man,Action,media,emocionante,2008,8.0
dune: part one,Action,larga,emocionante,2021,8.0
minnal murali,Action,larga,emocionante,2021,7.9
vishwaroopam,Action,larga,emocionante,2013,7.9
the batman,Action,larga,emocionante,2022,7.9
doragon bôru chô: burorî,Animation,media,neutral,2018,7.8
thirteen lives,Action,larga,emocionante,2022,7.8
pushpa: the rise - part 1,Action,larga,emocionante,2021,7.6
ölümlü dünya,Action,media,emocionante,2018,7.6
ludo,Action,larga,emocionante,2020,7.6
busanhaeng,Action,media,emocionante,2016,7.6
hotel mumbai,Action,larga,emocionante,2018,7.6
rise of the planet of the apes,Action,media,emocionante,2011,7.6
united 93,Action,media,emocionante,2006,7.6
kung fu panda,Animation,media,neutral,2008,7.6
star wars: episode iii - revenge of the sith,Action,larga,emocionante,2005,7.6
star trek: first contact,Action,media,emocionante,1996,7.6
robocop,Action,media,emocionante,1987,7.6
tanhaji: the unsung warrior,Action,larga,emocionante,2020,7.5
upgrade,Action,media,emocionante,2018,7.5
mersal,Action,larga,emocionante,2017,7.5
fury,Action,larga,emocionante,2014,7.5
the hunger games: catching fire,Action,larga,emocionante,2013,7.5
delhi belly,Action,media,emocionante,2011,7.5
waar,Action,larga,emocionante,2013,7.5
hodejegerne,Action,media,emocionante,2011,7.5
jûsan-nin no shikaku,Action,larga,emocionante,2010,7.5
yip man 2,Action,media,emocionante,2010,7.5
l'instinct de mort,Action,media,emocionante,2008,7.5
doctor strange,Action,media,emocionante,2016,7.5
retfærdighedens ryttere,Action,media,emocionante,2020,7.5
lone survivor,Action,larga,emocionante,2013,7.5
source code,Action,media,emocionante,2011,7.5
grindhouse,Action,larga,emocionante,2007,7.5
dalkomhan insaeng,Action,media,emocionante,2005,7.5
jodhaa akbar,Action,larga,emocionante,2008,7.5
scott pilgrim vs. the world,Action,media,emocionante,2010,7.5
munich,Action,larga,emocionante,2005,7.5
shi mian mai fu,Action,media,emocionante,2004,7.5
harry potter and the order of the phoenix,Action,larga,emocionante,2007,7.5
collateral,Action,media,emocionante,2004,7.5
zatôichi,Action,media,emocionante,2003,7.5
jui kuen ii,Action,media,emocionante,1994,7.5
the crow,Action,media,emocionante,1994,7.5
total recall,Action,media,emocionante,1990,7.5
the hunt for red october,Action,larga,emocionante,1990,7.5
batman,Action,larga,emocionante,1989,7.5
midnight run,Action,larga,emocionante,1988,7.5
ging chaat goo si,Action,media,emocionante,1985,7.5
indiana jones and the temple of doom,Action,media,emocionante,1984,7.5
tora! tora! tora!,Action,larga,emocionante,1970,7.5
it's a mad mad mad mad world,Action,larga,emocionante,1963,7.5
the guns of navarone,Action,larga,emocionante,1961,7.5
shang-chi and the legend of the ten rings,Action,larga,emocionante,2021,7.4
nobody,Action,media,emocionante,2021,7.4
spider-man: far from home,Action,larga,emocionante,2019,7.4
john wick: chapter 3 - parabellum,Action,larga,emocionante,2019,7.4
john wick: chapter 2,Action,larga,emocionante,2017,7.4
the last duel,Action,larga,emocionante,2021,7.4
war for the planet of the apes,Action,larga,emocionante,2017,7.4
john wick,Action,media,emocionante,2014,7.4
predestination,Action,media,emocionante,2014,7.4
how to train your dragon: the hidden world,Animation,media,neutral,2019,7.4
mission: impossible - rogue nation,Action,larga,emocionante,2015,7.4
spider-man: homecoming,Action,larga,emocionante,2017,7.4
rurôni kenshin: meiji kenkaku roman tan,Action,larga,emocionante,2012,7.4
ready player one,Action,larga,emocionante,2018,7.4
sherlock holmes: a game of shadows,Action,larga,emocionante,2011,7.4
samâ uôzu,Animation,media,neutral,2009,7.4
looper,Action,media,emocionante,2012,7.4
mission: impossible - ghost protocol,Action,larga,emocionante,2011,7.4
law abiding citizen,Action,media,emocionante,2009,7.4
black dynamite,Action,corta,emocionante,2009,7.4
wonder woman,Action,larga,emocionante,2017,7.4
l'ennemi public n°1,Action,larga,emocionante,2008,7.4
a history of violence,Action,media,emocionante,2005,7.4
spider-man 2,Action,larga,emocionante,2004,7.4
open range,Action,larga,emocionante,2003,7.4
master and commander: the far side of the world,Action,larga,emocionante,2003,7.4
x2,Action,larga,emocionante,2003,7.4
spider-man,Action,larga,emocionante,2002,7.4
the rock,Action,larga,emocionante,1996,7.4
thief,Action,larga,emocionante,1981,7.4
zui quan,Action,media,emocionante,1978,7.4
superman,Action,larga,emocionante,1978,7.4
get carter,Action,media,emocionante,1971,7.4
bullitt,Action,media,emocionante,1968,7.4
from russia with love,Action,media,emocionante,1963,7.4
el camino: a breaking bad movie,Action,larga,emocionante,2019,7.3
dc league of super-pets,Animation,media,neutral,2022,7.3
tenet,Action,larga,emocionante,2020,7.3
raya and the last dragon,Animation,media,neutral,2021,7.3
patriots day,Action,larga,emocionante,2016,7.3
13 hours,Action,larga,emocionante,2016,7.3
the lego batman movie,Animation,media,neutral,2017,7.3
okja,Action,media,emocionante,2017,7.3
the nice guys,Action,media,emocionante,2016,7.3
avengers: age of ultron,Action,larga,emocionante,2015,7.3
no time to die,Action,larga,emocionante,2021,7.3
american sniper,Action,larga,emocionante,2014,7.3
the accountant,Action,larga,emocionante,2016,7.3
eye in the sky,Action,media,emocionante,2015,7.3
black panther,Action,larga,emocionante,2018,7.3
southpaw,Action,larga,emocionante,2015,7.3
fast five,Action,larga,emocionante,2011,7.3
the next three days,Action,larga,emocionante,2010,7.3
bullet train,Action,larga,emocionante,2022,7.3
ghajini,Action,larga,emocionante,2008,7.3
master,Action,larga,emocionante,2021,7.3
invictus,Action,larga,emocionante,2009,7.3
max manus,Action,media,emocionante,2008,7.3
megamind,Animation,media,neutral,2010,7.3
the adventures of tintin,Animation,media,neutral,2011,7.3
der baader meinhof komplex,Action,larga,emocionante,2008,7.3
ant-man,Action,media,emocionante,2015,7.3
alita: battle angel,Action,larga,emocionante,2019,7.3
chi bi,Action,larga,emocionante,2008,7.3
running scared,Action,larga,emocionante,2006,7.3
pirates of the caribbean: dead man's chest,Action,larga,emocionante,2006,7.3
layer cake,Action,media,emocionante,2004,7.3
siu lam juk kau,Action,media,emocionante,2001,7.3
equilibrium,Action,media,emocionante,2002,7.3
x-men,Action,media,emocionante,2000,7.3
the negotiator,Action,larga,emocionante,1998,7.3
enemy of the state,Action,larga,emocionante,1998,7.3
starship troopers,Action,larga,emocionante,1997,7.3
men in black,Action,media,emocionante,1997,7.3
grosse pointe blank,Action,media,emocionante,1997,7.3
face/off,Action,larga,emocionante,1997,7.3
crimson tide,Action,media,emocionante,1995,7.3
true lies,Action,larga,emocionante,1994,7.3
speed,Action,media,emocionante,1994,7.3
nikita,Action,media,emocionante,1990,7.3
star trek iv: the voyage home,Action,media,emocionante,1986,7.3
to live and die in l.a.,Action,media,emocionante,1985,7.3
the karate kid,Action,larga,emocionante,1984,7.3
beverly hills cop,Action,media,emocionante,1984,7.3
assault on precinct 13,Action,media,emocionante,1976,7.3
the getaway,Action,larga,emocionante,1972,7.3
jason and the argonauts,Action,media,emocionante,1963,7.3
the suicide squad,Action,larga,emocionante,2021,7.2
anthropoid,Action,media,emocionante,2016,7.2
the siege of jadotville,Action,media,emocionante,2016,7.2
bajirao mastani,Action,larga,emocionante,2015,7.2
la isla mínima,Action,media,emocionante,2014,7.2
'71,Action,media,emocionante,2014,7.2
holiday,Action,larga,emocionante,2014,7.2
unbroken,Action,larga,emocionante,2014,7.2
the man from u.n.c.l.e.,Action,media,emocionante,2015,7.2
kon-tiki,Action,media,emocionante,2012,7.2
war horse,Action,larga,emocionante,2011,7.2
rise of the guardians,Animation,media,neutral,2012,7.2
the hunger games,Action,larga,emocionante,2012,7.2
kung fu panda 2,Animation,media,neutral,2011,7.2
harry brown,Action,media,emocionante,2009,7.2
old henry,Action,media,emocionante,2021,7.2
21 jump street,Action,media,emocionante,2012,7.2
vr (vikrant rona),Action,larga,emocionante,2022,7.2
rango,Animation,media,neutral,2011,7.2
prey,Action,media,emocionante,2022,7.2
the witcher: nightmare of the wolf,Animation,corta,neutral,2021,7.2
rocknrolla,Action,media,emocionante,2008,7.2
joheunnom nabbeunnom isanghannom,Action,larga,emocionante,2008,7.2
i am legend,Action,media,emocionante,2007,7.2
the equalizer,Action,larga,emocionante,2014,7.2
mongol,Action,larga,emocionante,2007,7.2
friday night lights,Action,media,emocionante,2004,7.2
fainaru fantajî sebun adobento chirudoren,Animation,media,neutral,2005,7.2
team america: world police,Action,media,emocionante,2004,7.2
the life aquatic with steve zissou,Action,media,emocionante,2004,7.2
kingdom of heaven,Action,larga,emocionante,2005,7.2
the matrix reloaded,Action,larga,emocionante,2003,7.2
the patriot,Action,larga,emocionante,2000,7.2
arlington road,Action,media,emocionante,1999,7.2
ronin,Action,larga,emocionante,1998,7.2
from dusk till dawn,Action,media,emocionante,1996,7.2
goldeneye,Action,larga,emocionante,1995,7.2
natural born killers,Action,media,emocionante,1994,7.2
in the line of fire,Action,larga,emocionante,1993,7.2
star trek vi: the undiscovered country,Action,media,emocionante,1991,7.2
point break,Action,larga,emocionante,1991,7.2
lethal weapon 2,Action,media,emocionante,1989,7.2
willow,Action,larga,emocionante,1988,7.2
they live,Action,media,emocionante,1988,7.2
the transformers: the movie,Animation,corta,neutral,1986,7.2
the hitcher,Action,media,emocionante,1986,7.2
big trouble in little china,Action,media,emocionante,1986,7.2
silverado,Action,larga,emocionante,1985,7.2
runaway train,Action,media,emocionante,1985,7.2
magnum force,Action,larga,emocionante,1973,7.2
meng long guo jiang,Action,media,emocionante,1972,7.2
jing wu men,Action,media,emocionante,1972,7.2
vanishing point,Action,media,emocionante,1971,7.2
the italian job,Action,media,emocionante,1969,7.2
django,Action,media,emocionante,1966,7.2
dr. no,Action,media,emocionante,1962,7.2
mosul,Action,corta,emocionante,2019,7.1
black adam,Action,larga,emocionante,2022,7.1
free guy,Action,media,emocionante,2021,7.1
brawl in cell block 99,Action,larga,emocionante,2017,7.1
kaabil,Action,larga,emocionante,2017,7.1
allied,Action,larga,emocionante,2016,7.1
american made,Action,media,emocionante,2017,7.1
fast & furious 7,Action,larga,emocionante,2015,7.1
everest,Action,larga,emocionante,2015,7.1
kraftidioten,Action,media,emocionante,2014,7.1
gabbar is back,Action,larga,emocionante,2015,7.1
kung fu panda 3,Animation,media,neutral,2016,7.1
dragon ball z: doragon bôru z - kami to kami,Animation,corta,neutral,2013,7.1
god bless america,Action,media,emocionante,2011,7.1
batman v superman: dawn of justice (ultimate edition),Action,larga,emocionante,2016,7.1
deepwater horizon,Action,media,emocionante,2016,7.1
snowpiercer,Action,larga,emocionante,2013,7.1
dredd,Action,media,emocionante,2012,7.1
enthiran,Action,larga,emocionante,2010,7.1
iron man three,Action,larga,emocionante,2013,7.1
flickan som lekte med elden,Action,larga,emocionante,2009,7.1
micmacs à tire-larigot,Action,media,emocionante,2009,7.1
jcvd,Action,media,emocionante,2008,7.1
the northman,Action,larga,emocionante,2022,7.1
wrath of man,Action,media,emocionante,2021,7.1
planet terror,Action,media,emocionante,2007,7.1
defiance,Action,larga,emocionante,2008,7.1
shooter,Action,larga,emocionante,2007,7.1
man of steel,Action,larga,emocionante,2013,7.1
rocky balboa,Action,media,emocionante,2006,7.1
don,Action,larga,emocionante,2006,7.1
deja vu,Action,larga,emocionante,2006,7.1
pirates of the caribbean: at world's end,Action,larga,emocionante,2007,7.1
fanaa,Action,larga,emocionante,2006,7.1
flags of our fathers,Action,larga,emocionante,2006,7.1
banlieue 13,Action,corta,emocionante,2004,7.1
ong-bak,Action,media,emocionante,2003,7.1
"i, robot",Action,media,emocionante,2004,7.1
live free or die hard,Action,larga,emocionante,2007,7.1
we were soldiers,Action,larga,emocionante,2002,7.1
pitch black,Action,media,emocionante,2000,7.1
payback,Action,media,emocionante,1999,7.1
the mummy,Action,larga,emocionante,1999,7.1
blade,Action,media,emocionante,1998,7.1
three kings,Action,media,emocionante,1999,7.1
mission: impossible,Action,media,emocionante,1996,7.1
desperado,Action,media,emocionante,1995,7.1
batman returns,Action,larga,emocionante,1992,7.1
die hard 2,Action,larga,emocionante,1990,7.1
casualties of war,Action,media,emocionante,1989,7.1
no way out,Action,media,emocionante,1987,7.1
highlander,Action,media,emocionante,1986,7.1
wargames,Action,media,emocionante,1983,7.1
escape from new york,Action,media,emocionante,1981,7.1
the poseidon adventure,Action,media,emocionante,1972,7.1
doctor strange in the multiverse of madness,Action,larga,emocionante,2022,7.0
kabir singh,Action,larga,emocionante,2019,7.0
greyhound,Action,media,emocionante,2020,7.0
logan lucky,Action,media,emocionante,2017,7.0
ant-man and the wasp,Action,media,emocionante,2018,7.0
sicario: day of the soldado,Action,larga,emocionante,2018,7.0
sultan,Action,larga,emocionante,2016,7.0
spy,Action,media,emocionante,2015,7.0
a most violent year,Action,larga,emocionante,2014,7.0
yip man 3,Action,media,emocionante,2015,7.0
star trek beyond,Action,larga,emocionante,2016,7.0
22 jump street,Action,media,emocionante,2014,7.0
yip man 4,Action,media,emocionante,2019,7.0
furious 6,Action,larga,emocionante,2013,7.0
chronicle,Action,corta,emocionante,2012,7.0
super 8,Action,media,emocionante,2011,7.0
yip man chin chyun,Action,media,emocionante,2010,7.0
the foreigner,Action,media,emocionante,2017,7.0
oblivion,Action,larga,emocionante,2013,7.0
filth,Action,media,emocionante,2013,7.0
don 2,Action,larga,emocionante,2011,7.0
den of thieves,Action,larga,emocionante,2018,7.0
red,Action,media,emocionante,2010,7.0
bronson,Action,media,emocionante,2008,7.0
public enemies,Action,larga,emocionante,2009,7.0
the unbearable weight of massive talent,Action,media,emocionante,2022,7.0
cloverfield,Action,corta,emocionante,2008,7.0
death proof,Action,larga,emocionante,2007,7.0
tropic thunder,Action,media,emocionante,2008,7.0
tau ming chong,Action,larga,emocionante,2007,7.0
son of rambow,Action,media,emocionante,2007,7.0
world war z,Action,media,emocionante,2013,7.0
thor,Action,media,emocionante,2011,7.0
jack reacher,Action,larga,emocionante,2012,7.0
body of lies,Action,larga,emocionante,2008,7.0
man cheng jin dai huang jin jia,Action,media,emocionante,2006,7.0
9,Animation,corta,neutral,2009,7.0
rambo,Action,media,emocionante,2008,7.0
shazam!,Action,larga,emocionante,2019,7.0
real steel,Action,larga,emocionante,2011,7.0
the kingdom,Action,media,emocionante,2007,7.0
tom yum goong,Action,media,emocionante,2005,7.0
transformers,Action,larga,emocionante,2007,7.0
hellboy ii: the golden army,Action,media,emocionante,2008,7.0
constantine,Action,larga,emocionante,2005,7.0
main hoon na,Action,larga,emocionante,2004,7.0
unleashed,Action,media,emocionante,2005,7.0
underworld,Action,larga,emocionante,2003,7.0
koroshiya 1,Action,larga,emocionante,2001,7.0
